name,value,year,lastValue,rank
Allg. HZB,35,2013,35,2
Allg. HZB,40,2014,35,1
Allg. HZB,40,2015,40,2
Allg. HZB,46,2016,40,1
Allg. HZB,35,2017,46,1
Allg. HZB,34,2018,35,1
Allg. HZB,43,2019,43,1
FH-Reife,37,2013,37,1
FH-Reife,38,2014,37,2
FH-Reife,45,2015,38,1
FH-Reife,36,2016,45,2
FH-Reife,35,2017,36,2
FH-Reife,26,2018,26,2
FH-Reife,31,2019,31,2
Beruflich Qualifizierte,0,2013,0,4
Beruflich Qualifizierte,0,2014,0,4
Beruflich Qualifizierte,0,2015,0,4
Beruflich Qualifizierte,0,2016,0,4
Beruflich Qualifizierte,8,2017,0,3
Beruflich Qualifizierte,3,2018,8,3
Beruflich Qualifizierte,2,2019,3,4
Ausl. HZB/Studienkolleg,2,2013,2,3
Ausl. HZB/Studienkolleg,2,2014,2,3
Ausl. HZB/Studienkolleg,5,2015,2,3
Ausl. HZB/Studienkolleg,3,2016,5,3
Ausl. HZB/Studienkolleg,3,2017,3,4
Ausl. HZB/Studienkolleg,2,2018,3,4
Ausl. HZB/Studienkolleg,6,2019,2,3
